eposides,loss
0,2975.37
100,1761.66
200,2033.93
300,1892.85
400,2083.51
500,1586.96
600,2102.58
700,1349.46
800,3448.69
900,1525.39
1000,2663.41
1100,1958.24
1200,1291.45
1300,1891.24
1400,2628.06
1500,2279.46
1600,1244.37
1700,2347.13
1800,1644.44
1900,2444.78
2000,2734.14
2100,1218.66
2200,1047.98
2300,2242.79
2400,1029.73
2500,2823.17
2600,2408.87
2700,1352.76
2800,1853.37
2900,1642.16
3000,2839.98
3100,2251.58
3200,2041.48
3300,1707.67
3400,1977.12
3500,1569
3600,2487.84
3700,1995.46
3800,2206.87
3900,2306.38
4000,2354.77
4100,1483.24
4200,1962.6
4300,2546.16
4400,2754.88
4500,1891.28
4600,1703.53
4700,2226.76
4800,2341.95
4900,1869.74
5000,2532.95
5100,3005.32
5200,3016
5300,2995
5400,2024.21
5500,2881.48
5600,1435.6
5700,2151.4
5800,2570.61
5900,1895.72
6000,2527.96
6100,2519.37
6200,1099.94
6300,1450.85
6400,2762.55
6500,2021.27
6600,1912.59
6700,3040.59
6800,2881.7
6900,1004.17
7000,1575.98
7100,1708.73
7200,2473.84
7300,3339.53
7400,2614.84
7500,2929.21
7600,1313.97
7700,2601.72
7800,1356.17
7900,2657.03
8000,1913.17
8100,2467.81
8200,2179.98
8300,3130.87
8400,1266.18
8500,1078.05
8600,2110.87
8700,1468.02
8800,2021.15
8900,3522.85
9000,3807.97
9100,2289.75
9200,2100.24
9300,2833.1
9400,2947.44
9500,1842.88
9600,1508.08
9700,2969.68
9800,3284.89
9900,2567.88
10000,2953.82
